"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3";"N64_U3";1;"~";;;
2;"R27";"OpeN64_SMD_0805";1;"301";;;
3;"U2";"OpeN64_U2_AMP_NUS";1;"~";;;
4;"C130,C131,C134,C73,C140,C81,C145,C141";"OpeN64_CAP_AL_SMD_6.2x4.7";8;"68u/10";;;
5;"C15,C16";"OpeN64_CAP_AL_SMD_7.8x4.9";2;"220u/10";;;
6;"C25,C26";"OpeN64_CAP_AL_SMD_3.8x4.5_Flipped";2;"10u/16";;;
7;"C28,C24,C142";"OpeN64_CAP_AL_SMD_6.2x4.7";3;"33u/25";;;
8;"C128,C34";"OpeN64_CAP_AL_SMD_3.8x4.5";2;"10u/16";;;
9;"R33";"OpeN64_SMD_0805";1;"33";;;
10;"SW1";"OpeN64_SW1_Power_Switch";1;"N64_SW1_Power";;;
11;"D3";"N64_D3_Power_LED";1;"LED";;;
12;"U11,U14";"OpeN64_U11_14_RDRAM18-NUS";2;"~";;;
13;"U12";"OpeN64_U12_PQ7VZ5";1;"~";;;
14;"C161,C160,C3,C103,C70,C35,C107,C45,C51,C72,C129,C85,C20,C148,C99,C18,C9,C150,C137,C121,C111,C110,C17,C31,C58,C139,C27,C1,C93,C76,C113,C30,C64,C19,C71,C102,C2,C120,C83,C77,C80,C86,C106,C116,C105,C47,C55,C41,C87,C49,C115,C78,C54,C56,C94,C104,C21,C75,C36,C108,C143,C57,C29,C136";"OpeN64_SMD_0603";64;"0.1u";;;
15;"U10";"OpeN64_U10_CPU-NUS";1;"~";;;
16;"U5";"OpeN64_U5_ENC-NUS";1;"~";;;
17;"R35";"OpeN64_SMD_0805";1;"390";;;
18;"U13";"OpeN64_U13_TO-252";1;"78M05";;;
19;"C33";"OpeN64_CAP_AL_SMD_6.2x4.7";1;"68u/1D";;;
20;"U7,U15";"OpeN64_U7_15_MX8330";2;"~";;;
21;"U6";"OpeN64_U6_PIF";1;"~";;;
22;"R32";"OpeN64_SMD_0805";1;"150";;;
23;"P9,P8";"OpeN64_P8_P9_Screw_Mount";2;"~";;;
24;"U8";"OpeN64_U8_LV125A";1;"~";;;
25;"R25";"OpeN64_SMD_0805";1;"130";;;
26;"SW2";"OpeN64_SW2_Reset";1;"RESET";;;
27;"P3";"OpeN64_P3_Right_Controller_Port";1;"~";;;
28;"P7";"OpeN64_P7_Video_Port";1;"~";;;
29;"U9";"OpeN64_U9_RCP-NUS";1;"~";;;
30;"P6";"OpeN64_P5_Cartridge_Slot";1;"P5";;;
31;"U4";"OpeN64_U4_VDC-NUS";1;"~";;;
32;"P4";"OpeN64_P4_Power_Port";1;"~";;;
33;"P2";"OpeN64_P2_Left_Controller_Port";1;"~";;;
34;"R26";"OpeN64_SMD_0805";1;"316";;;
35;"x1,x2";"OpeN64_CRYSTAL_HC49S_TH";2;"Crystal_Small";;;
36;"U1";"OpeN64_U1_9480F";1;"~";;;
37;"P1";"OpeN64_P1_RDRAM_Expansion_Port";1;"~";;;
38;"C4,C127";"OpeN64_SMD_0603";2;"0.47u";;;
39;"R37,R39,R40,R38";"N64_0603_Component_2";4;"750";;;
40;"C32,C101";"N64_0603_Component_2";2;"0.1u";;;
41;"L6,L5";"N64_0603_Component";2;"N64_0603_Component";;;
42;"C22,C13,C11,C12";"OpeN64_SMD_0603";4;"47p";;;
43;"C38,C109,C164,C153,C165,C169,C90,C52,C167,C166,C50,C100,C168,C46,C96,C42,C163,C170,C91,C154,C48,C152,C162";"OpeN64_SMD_0603";23;"0.01u";;;
44;"C125,C82,C44,C114,C84,C79,C10,C119,C149,C133,C65,C97,C60,C63,C98,C5,C126,C43,C59,C135,C74,C53,C132,C118,C66,C124,C95,C37,C112,C62,C89,C92,C117,C61,C138";"OpeN64_SMD_0805";35;"1u";;;
45;"C8";"OpeN64_SMD_0603";1;"1000p";;;
46;"R2";"N64_0603_Component_2";1;"2k";;;
47;"R30,R29";"OpeN64_SMD_0805";2;"4.7";;;
48;"C123,C144";"OpeN64_SMD_0805";2;"0.22u";;;
49;"C6,C7";"OpeN64_SMD_0603";2;"200p";;;
50;"DA1,DA5,DA7,DA8,DA3,DA6";"OpeN64_Diode_Array";6;"DAN202U";;;
51;"C159";"N64_0603_Component_2";1;"0.1u?";;;
52;"C151,C67";"OpeN64_SMD_0603";2;"560p";;;
53;"C68,C88";"OpeN64_SMD_0603";2;"0.01u?";;;
54;"D5,D4";"OpeN64_Diode_Array_5_Pin";2;"RB471E";;;
55;"FIL3,FIL1,FIL5,FIL7";"OpeN64_Filter";4;"120ohm";;;
56;"R5,R14,R6,R31,R7";"N64_0603_Component_2";5;"75";;;
57;"C156,C155,C158,C157";"OpeN64_SMD_0603";4;"68p";;;
58;"C178";"N64_0603_Component_2";1;"~";;;
59;"R17,R21";"N64_0603_Component_2";2;"200";;;
60;"R8,R10";"N64_0603_Component_2";2;"110";;;
61;"R15,R18,R11,R20";"N64_0603_Component_2";4;"10k";;;
62;"C176,C177,C179,C172";"OpeN64_SMD_0603";4;"~";;;
63;"R19";"N64_0603_Component_2";1;"180k";;;
64;"R34,R22";"N64_0603_Component_2";2;"47k";;;
65;"D2,D1";"OpeN64_Diode";2;"RB501V-40";;;
66;"C175,C174,C173";"OpeN64_SMD_1206";3;"~";;;
67;"R56,R53,R54,R55";"N64_0603_Component_2";4;"130";;;
68;"C122,C23";"OpeN64_SMD_0603";2;"330p";;;
69;"R16,R58,R57";"N64_0603_Component_2";3;"1k";;;
70;"C146,C147,C39,C40";"OpeN64_SMD_0603";4;"39p";;;
71;"R3";"N64_0603_Component_2";1;"30k";;;
72;"Q1";"OpeN64_Q_T23";1;"~";;;
73;"C69";"OpeN64_SMD_0603";1;"0.1u?";;;
74;"R28";"N64_0603_Component_2";1;"0";;;
75;"FIL2,FIL8,FIL4,FIL6";"OpeN64_Filter";4;"300ohm";;;
76;"R23";"N64_Resistor_0603";1;"1k";;;
77;"R1";"N64_0603_Component_2";1;"300";;;
78;"R4";"N64_0603_Component_2";1;"68k";;;
79;"R36";"N64_0603_Component_2";1;"51k";;;
80;"C14";"OpeN64_SMD_0603";1;"0.047u";;;
81;"R12";"N64_0603_Component_2";1;"820";;;
82;"R13";"N64_0603_Component_2";1;"4.3k";;;
83;"R24";"OpeN64_SMD_0805";1;"24";;;
84;"R9";"N64_Resistor_0603";1;"110";;;
